"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-11","3.0",",,W"," 1001",",,X"," 1007",",,W","27.2",",,0,2400","0.0",",,0","0.0",",,0",,,"13.9",",,0","7.2",",,0","  120",",,X","  130",",,X","0.0",",,0","7.6",",,X","9.4",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-12","3.3",",,W"," 0344",",,X"," 1419",",,W","13.5",",,0,2400","0.0",",,0","0.0",",,0",,,"11.7",",,0","8.3",",,0","  110",",,X","  180",",,X","0.0",",,0","6.7",",,X","10.7",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-13","4.7",",,W"," 2024",",,X"," 2001",",,W","6.9",",,0,2400","0.0",",,0","0.0",",,0",,,"13.3",",,0","7.8",",,0","  210",",,X","  230",",,X","0.0",",,0","11.2",",,X","15.6",",,X","    1",",,W",,,,,,,"    1",",,0",,,"    1",",,W",,,,,"    1",",,X","    1",",,X","    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-14","3.4",",,W"," 0006",",,X"," 1616",",,W","7.1",",,0,2400","0.0",",,0","0.0",",,0",,,"8.9",",,0","7.2",",,0","  200",",,X","  140",",,X","0.0",",,0","8.9",",,X","10.7",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-15","3.6",",,W"," 0811",",,X"," 0734",",,W","10.7",",,0,2400","0.0",",,0","0.0",",,0",,,"10.6",",,0","6.7",",,0","  180",",,X","  170",",,X","0.0",",,0","11.6",",,X","16.1",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-16","1.9",",,W"," 0534",",,X"," 0534",",,W","0.5",",,0,2400","0.0",",,0","0.0",",,0",,,"7.2",",,0","2.8",",,0","   30",",,X","   30",",,X","0.0",",,0","4.5",",,X","5.4",",,X","    1",",,X","    1",",,X",,,,,"    1",",,0",,,,,"    1",",,0",,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-17","3.4",",,W"," 2217",",,X"," 2205",",,W","3.8",",,0,2400","0.0",",,0","0.0",",,0",,,"11.1",",,0","5.6",",,0","  180",",,X","  180",",,X","0.0",",,0","7.6",",,X","10.7",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-18","6.6",",,W"," 0131",",,X"," 0259",",,W","0.0","T,,0,2400","0.0",",,0","0.0",",,0",,,"15.0",",,0","9.4",",,0","  160",",,X","  160",",,X","0.0",",,0","14.3",",,X","19.7",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-19","5.2",",,W"," 1136",",,X"," 1134",",,W","0.3",",,0,2400","0.0",",,0","0.0",",,0",,,"15.6",",,0","8.9",",,0","  120",",,X","  120",",,X","0.0",",,0","9.8",",,X","12.5",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-20","4.5",",,W"," 1933",",,X"," 1930",",,W","0.0","T,,0,2400","0.0",",,0","0.0",",,0",,,"13.9",",,0","5.6",",,0","  110",",,X","  120",",,X","0.0",",,0","12.5",",,X","17.0",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-21","4.2",",,W"," 2028",",,X"," 2020",",,W","0.0","T,,0,2400","0.0",",,0","0.0",",,0",,,"13.3",",,0","7.2",",,0","  110",",,X","  120",",,X","0.0",",,0","7.6",",,X","10.3",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-22","2.8",",,W"," 0823",",,X"," 0832",",,W","0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"8.9",",,0","4.4",",,0","   10",",,X","   10",",,X","0.0",",,0","6.7",",,X","7.6",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-23","3.3",",,W"," 2321",",,X"," 2320",",,W","2.3",",,0,2400","0.0",",,0","0.0",",,0",,,"9.4",",,0","4.4",",,0","  110",",,X","  110",",,X","0.0",",,0","5.8",",,X","6.7",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X","    1",",,X","    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-24","4.4",",,W"," 1820",",,X"," 1936",",,W","9.1",",,0,2400","0.0",",,0","0.0",",,0",,,"7.8",",,0","2.8",",,0","  110",",,X","  120",",,X","0.0",",,0","8.9",",,X","11.6",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-25","3.0",",,W"," 0925",",,X"," 0448",",,W","1.5",",,0,2400","0.0",",,0","0.0",",,0",,,"12.2",",,0","5.0",",,0","  140",",,X","  150",",,X","0.0",",,0","7.2",",,X","16.1",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-26","1.2",",,W"," 0107",",,X"," 0150",",,W","0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"8.9",",,0","3.3",",,0","  110",",,X","   90",",,X","0.0",",,0","4.0",",,X","4.5",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-27","1.3",",,W"," 2357",",,X"," 2316",",,W","0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"9.4",",,0","1.7",",,0","  110",",,X","  120",",,X","0.0",",,0","4.5",",,X","6.3",",,X","    1",",,X","    1",",,X",,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-28","3.5",",,W"," 2036",",,X"," 2036",",,W","0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"12.8",",,0","5.0",",,0","  120",",,X","  120",",,X","0.0",",,0","7.6",",,X","9.8",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-29","2.2",",,W"," 0947",",,X"," 0943",",,W","0.5",",,0,2400","0.0",",,0","0.0",",,0",,,"13.3",",,0","6.7",",,0","  100",",,X","   90",",,X","0.0",",,0","7.2",",,X","8.9",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-30","1.8",",,W"," 0052",",,X"," 0049",",,W","4.6",",,0,2400","0.0",",,0","0.0",",,0",,,"8.9",",,0","6.1",",,0","  110",",,X","  110",",,X","0.0",",,0","5.4",",,X","6.3",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X","    1",",,X","    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-31","2.2",",,W"," 1211",",,X"," 1008",",,W","2.0",",,0,2400","0.0",",,0","0.0",",,0",,,"9.4",",,0","7.2",",,0","  210",",,X","  200",",,X","0.0",",,0","4.5",",,X","5.8",",,X","    1",",,X",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-01","1.3",",,W"," 2351",",,X"," 0754",",,W","2.0",",,0,2400","0.0",",,0","0.0",",,0",,,"9.4",",,0","4.4",",,0","  120",",,X","  130",",,X","0.0",",,0","4.0",",,X","5.8",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-02","2.5",",,W"," 0227",",,X"," 0226",",,W","0.3",",,0,2400","0.0",",,0","0.0",",,0",,,"12.2",",,0","4.4",",,0","  110",",,X","  130",",,X","0.0",",,0","5.4",",,X","7.6",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-03","2.1",",,W"," 1950",",,X"," 2058",",,W","7.9",",,0,2400","0.0",",,0","0.0",",,0",,,"10.0",",,0","5.0",",,0","   90",",,X","  100",",,X","0.0",",,0","4.5",",,X","6.3",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-04","4.7",",,W"," 1842",",,X"," 2024",",,W","2.0",",,0,2400","0.0",",,0","0.0",",,0",,,"13.9",",,0","5.0",",,0","  120",",,X","  120",",,X","0.0",",,0","9.8",",,X","12.5",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-05","3.7",",,W"," 2021",",,X"," 2020",",,W","1.8",",,0,2400","0.0",",,0","0.0",",,0",,,"14.4",",,0","7.2",",,0","  100",",,X","  100",",,X","0.0",",,0","7.2",",,X","8.9",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-06","2.3",",,W"," 0042",",,X"," 2356",",,W","3.3",",,0,2400","0.0",",,0","0.0",",,0",,,"13.3",",,0","6.1",",,0","  100",",,X","  100",",,X","0.0",",,0","6.3",",,X","8.0",",,X","    1",",,W",,,,,,,"    1",",,0",,,"    1",",,W",,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-07","2.0",",,W"," 1358",",,X"," 1341",",,W","3.8",",,0,2400","0.0",",,0","0.0",",,0",,,"9.4",",,0","6.7",",,0","  190",",,X","  190",",,X","0.0",",,0","3.6",",,X","4.5",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-08","1.7",",,W"," 2156",",,X"," 1417",",,W","0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"9.4",",,0","5.0",",,0","   10",",,X","  290",",,X","0.0",",,0","4.0",",,X","5.4",",,X","    1",",,W",,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-09","1.6",",,W"," 0008",",,X"," 1344",",,W","0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"7.8",",,0","2.2",",,0","   30",",,X","  260",",,X","0.0",",,0","3.6",",,X","4.0",",,X","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-10","1.9",",,W"," 2137",",,X"," 1928",",,W","2.8",",,0,2400","0.0",",,0","0.0",",,0",,,"6.7",",,0","-0.6",",,0","  150",",,X","  100",",,X","0.0",",,0","4.5",",,X","8.0",",,X","    1",",,W","    1",",,W",,,,,"    1",",,0",,,,,,,,,"    1",",,X","    1",",,X","    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-11","3.8",",,W"," 2254",",,X"," 2252",",,W","6.1",",,0,2400","0.0",",,0","0.0",",,0",,,"12.2",",,0","6.1",",,0","  180",",,X","  160",",,X","0.0",",,0","9.8",",,X","13.4",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-12","5.3",",,W"," 1505",",,X"," 1504",",,W","9.7",",,0,2400","0.0",",,0","0.0",",,0",,,"12.2",",,0","6.1",",,0","  220",",,X","  230",",,X","0.0",",,0","11.6",",,X","16.5",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-13","3.6",",,W"," 2016",",,X"," 2018",",,W","5.1",",,0,2400","0.0",",,0","0.0",",,0",,,"11.1",",,0","7.2",",,0","  110",",,X","  120",",,X","0.0",",,0","7.2",",,X","8.9",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-14","3.0",",,W"," 0313",",,X"," 0311",",,W","10.7",",,0,2400","0.0",",,0","0.0",",,0",,,"11.7",",,0","5.6",",,0","  140",",,X","  150",",,X","0.0",",,0","7.6",",,X","9.8",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-15","2.0",",,W"," 2306",",,X"," 2305",",,W","1.8",",,0,2400","0.0",",,0","0.0",",,0",,,"12.8",",,0","2.8",",,0","  130",",,X","  140",",,X","0.0",",,0","6.3",",,X","7.6",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-16","4.6",",,W"," 1748",",,X"," 1747",",,W","5.3",",,0,2400","0.0",",,0","0.0",",,0",,,"12.2",",,0","6.1",",,0","   30",",,X","   30",",,X","0.0",",,0","9.4",",,X","11.2",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-17","6.8",",,W"," 1542",",,X"," 1635",",,W","0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"10.6",",,0","3.9",",,0","   10",",,X","   30",",,X","0.0",",,0","10.7",",,X","12.5",",,X","    1",",,W",,,,,,,,,,,"    1",",,W",,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-18","6.7",",,W"," 1538",",,X"," 0719",",,W","0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"15.0",",,0","3.9",",,0","   10",",,X","   30",",,X","0.0",",,0","9.4",",,X","10.7",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-19","4.3",",,W"," 0433",",,X"," 1245",",,W","0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"15.0",",,0","3.9",",,0","   20",",,X","   30",",,X","0.0",",,0","7.2",",,X","8.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-20","3.1",",,W"," 2359",",,X"," 2303",",,W","0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"13.9",",,0","1.7",",,0","  110",",,X","  100",",,X","0.0",",,0","5.8",",,X","7.6",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-21","2.9",",,W"," 0124",",,X"," 0123",",,W","0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"13.9",",,0","2.2",",,0","  120",",,X","  130",",,X","0.0",",,0","8.0",",,X","11.2",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-22","2.2",",,W"," 2052",",,X"," 2259",",,W","0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"12.2",",,0","0.6",",,0","  130",",,X","  130",",,X","0.0",",,0","5.8",",,X","6.7",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-23","1.7",",,W"," 1013",",,X"," 1505",",,W","4.1",",,0,2400","0.0",",,0","0.0",",,0",,,"8.9",",,0","2.8",",,0","  210",",,X","  120",",,X","0.0",",,0","5.8",",,X","6.7",",,X","    1",",,W",,,,,,,"    1",",,0",,,"    1",",,W",,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-24","4.2",",,W"," 1431",",,X"," 1430",",,W","8.4",",,0,2400","0.0",",,0","0.0",",,0",,,"10.6",",,0","5.6",",,0","  220",",,X","  210",",,X","0.0",",,0","8.9",",,X","11.6",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-25","3.5",",,W"," 0302",",,X"," 0302",",,W","1.3",",,0,2400","0.0",",,0","0.0",",,0",,,"12.2",",,0","6.7",",,0","  170",",,X","  180",",,X","0.0",",,0","7.2",",,X","9.4",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-26","4.2",",,W"," 0715",",,X"," 0814",",,W","11.2",",,0,2400","0.0",",,0","0.0",",,0",,,"11.1",",,0","7.8",",,0","  110",",,X","  120",",,X","0.0",",,0","9.4",",,X","11.2",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
